ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
BSE,Lower Slough,8/4/2009,0.52,36.8215,-121.7834,23.39,45.54,8.40,127.50,8.36,39.20,2.30,2.00,0.00,0.14,,,0.00,0.07,0.05,1.45,0.07,0.00,2.36
BSW,Lower Slough,8/4/2009,0.51,36.8209,-121.7909,22.12,0.45,7.68,97.90,8.52,4.60,0.10,5.00,0.16,11.43,,,0.00,0.05,0.14,4.42,0.21,0.00,1.10
CC,Upper Slough,8/4/2009,0.49,36.8601,-121.7401,22.68,10.64,8.94,125.00,10.15,16.40,5.70,0.00,0.15,10.71,0.27,19.36,0.00,,0.09,2.91,,0.04,
HLE,Upper Slough,8/4/2009,0.48,36.8563,-121.7549,24.45,40.21,8.28,126.00,8.36,2.70,0.70,40.00,0.16,11.43,0.00,0.29,0.00,,0.52,16.67,,0.02,
HLW,Upper Slough,8/4/2009,0.48,36.8565,-121.755,24.54,37.26,7.75,101.00,6.81,20.40,1.00,0.00,0.37,26.43,2.58,184.00,0.00,,0.06,1.94,,0.01,
JR,Lower Slough,8/4/2009,0.52,36.8171,-121.7871,20.71,33.97,8.19,139.60,10.26,15.50,0.30,0.00,0.04,2.71,,,0.00,0.26,0.05,1.65,0.29,0.00,0.99
MCS,Lower Slough,8/4/2009,0.57,36.7963,-121.7832,26.10,34.29,8.68,194.50,12.98,4.40,1.30,0.00,0.23,16.43,0.72,51.64,0.00,,0.05,1.61,,0.05,
MDW,Tembladero Slough,8/4/2009,0.58,36.7719,-121.7897,26.44,1.89,8.11,81.60,6.50,98.30,0.30,0.00,0.17,12.14,32.27,"2,304.86",0.00,,0.66,21.31,,0.01,
MLN,Lower Slough,8/4/2009,0.54,36.8,-121.7844,22.36,20.68,7.87,102.50,7.89,14.10,0.80,0.00,0.17,12.14,17.42,"1,244.43",0.00,,0.36,11.62,,0.01,
MLS,Lower Slough,8/4/2009,0.55,36.7997,-121.7847,25.57,31.23,8.31,182.00,12.47,4.80,0.90,0.00,0.33,23.57,3.72,265.86,0.00,,0.28,9.10,,0.04,
NERRNM,Reserve,8/4/2009,0.54,36.83465,-121.73843,23.00,35.10,7.80,79.40,5.60,9.00,,,0.07,4.83,,,0.02,0.07,0.04,1.21,0.14,0.00,0.69
NERRVM,Lower Slough,8/4/2009,0.60,36.8112,-121.7792,16.20,32.30,8.30,116.40,9.40,4.00,,,0.02,1.71,,,0.00,0.06,0.03,0.83,0.08,0.00,0.47
PRN,Tembladero Slough,8/4/2009,0.56,36.7908,-121.7904,25.30,9.08,8.18,135.30,10.57,81.10,1.70,0.00,0.16,11.43,35.18,"2,513.07",0.00,,0.57,18.40,,0.01,
PRS,Tembladero Slough,8/4/2009,0.56,36.7904,-121.7907,25.08,5.29,8.18,109.80,8.80,50.00,1.40,0.00,0.27,19.29,41.87,"2,990.86",0.00,,0.69,22.28,,0.02,
SP,Lower Slough,8/4/2009,0.50,36.8247,-121.7774,24.67,49.10,8.34,158.40,9.95,39.70,14.10,2.00,0.07,5.00,1.49,106.50,0.00,,0.03,0.97,,0.01,
SRB,Salinas River,8/4/2009,0.60,36.7321,-121.7807,25.31,10.47,8.91,291.80,22.60,5.10,14.90,0.00,0.52,36.88,27.37,"1,954.64",0.00,,0.13,4.20,,0.17,
STB,Reserve,8/4/2009,0.47,36.8296,-121.734,26.33,52.68,8.53,91.40,5.48,27.10,8.20,60.00,0.38,27.21,,,0.00,0.04,0.05,1.45,0.42,0.07,2.71
TS,Tembladero Slough,8/4/2009,0.61,36.7651,-121.7596,25.94,1.37,8.64,219.60,17.70,34.40,5.20,0.00,0.07,5.00,44.13,"3,152.29",0.00,,0.51,16.47,,0.01,
TS2,Tembladero Slough,8/4/2009,0.58,36.772296,-121.787341,24.99,1.31,8.08,74.50,6.12,127.60,2.00,0.00,0.48,34.07,35.64,"2,545.36",0.00,,0.66,21.31,,0.03,
APC,Upper Slough,9/1/2009,0.52,36.8439,-121.7513,25.92,72.76,8.09,210.30,11.33,6.00,6.40,3.00,0.01,0.93,,,0.00,0.00,0.27,8.75,0.02,0.00,0.04
APN,Upper Slough,9/1/2009,0.54,36.8471,-121.7545,27.62,26.52,8.67,225.12,15.07,38.24,3.06,0.00,0.04,2.57,,,0.00,0.00,0.07,2.28,0.04,0.01,3.91
APS,Upper Slough,9/1/2009,0.52,36.8423,-121.7469,29.46,66.28,8.70,168.20,8.90,26.50,173.33,0.00,0.08,5.71,,,0.00,0.02,0.87,28.12,0.10,0.02,4.16
CC,Upper Slough,9/1/2009,0.46,36.8601,-121.7401,21.11,37.68,8.73,83.40,5.87,66.25,23.10,2.50,0.24,17.14,5.99,427.71,0.00,,0.65,20.99,,0.05,
HLE,Upper Slough,9/1/2009,0.46,36.8563,-121.7549,24.48,42.38,8.08,117.05,7.59,15.75,1.50,17.50,0.07,5.00,0.00,0.29,0.00,,0.34,11.00,,0.01,
HLW,Upper Slough,9/1/2009,0.45,36.8565,-121.755,22.86,49.51,8.30,114.40,7.38,31.30,3.00,0.00,0.34,24.29,0.25,17.79,0.00,,,,,0.03,
JR,Lower Slough,9/1/2009,0.48,36.8171,-121.7871,20.59,39.49,8.19,132.60,9.45,28.60,0.10,0.00,0.05,3.50,,,0.00,0.07,0.05,1.45,0.11,0.00,2.43
KP,Upper Slough,9/1/2009,0.51,36.8398,-121.7437,23.24,40.68,8.05,97.70,6.60,8.50,-0.70,0.00,0.08,5.57,,,0.00,0.05,0.05,1.68,0.13,0.00,3.23
MCS,Lower Slough,9/1/2009,0.51,36.7963,-121.7832,22.29,38.80,8.90,144.30,10.02,11.40,2.70,20.00,0.08,5.71,0.07,4.86,0.00,,0.06,1.94,,0.02,
MLN,Lower Slough,9/1/2009,0.50,36.8,-121.7844,21.91,26.17,8.29,123.80,9.31,26.90,4.80,0.00,0.09,6.43,14.37,"1,026.57",0.00,,0.11,3.55,,0.01,
MLS,Lower Slough,9/1/2009,0.50,36.7997,-121.7847,20.14,33.91,8.10,94.50,7.02,5.10,1.50,35.00,0.26,18.57,5.29,377.71,0.00,,0.09,2.91,,0.01,
NERRNM,Reserve,9/1/2009,0.50,36.83465,-121.73843,22.30,39.00,8.00,92.10,6.40,8.00,,,0.09,6.13,,,0.01,0.05,0.04,1.33,0.13,0.00,4.46
NERRVM,Lower Slough,9/1/2009,0.56,36.8112,-121.7792,,,,,,,,,0.03,2.13,,,0.00,0.13,0.03,0.84,0.16,,1.25
PRN,Tembladero Slough,9/1/2009,0.50,36.7908,-121.7904,24.08,15.38,8.55,182.00,14.01,77.70,6.80,0.00,0.43,30.71,27.77,"1,983.36",0.00,,0.38,12.38,,0.07,
PRS,Tembladero Slough,9/1/2009,0.51,36.7904,-121.7907,24.36,7.96,8.55,147.30,11.77,82.90,24.10,2.00,2.30,164.29,31.48,"2,248.36",0.00,,0.55,17.76,,0.37,
RBR,Reserve,9/1/2009,0.48,36.8199,-121.7371,20.64,40.14,8.00,86.60,6.14,16.10,2.20,0.00,0.06,4.18,,,0.00,0.05,0.03,1.07,0.11,0.00,2.67
SRB,Salinas River,9/1/2009,0.55,36.7321,-121.7807,23.86,9.63,8.18,68.90,5.50,25.00,5.40,0.00,2.16,154.05,25.44,"1,817.43",0.00,,0.03,0.87,,0.16,
STB,Reserve,9/1/2009,0.43,36.8296,-121.734,24.97,63.87,8.37,37.60,2.16,44.20,16.00,85.00,0.14,10.21,,,0.00,0.02,0.02,0.55,0.17,0.02,18.53
TS2,Tembladero Slough,9/1/2009,0.53,36.772296,-121.787341,22.78,3.26,8.77,182.65,15.42,50.60,4.05,0.50,0.09,6.43,30.33,"2,166.07",0.00,,0.26,8.39,,0.02,
APC,Upper Slough,10/5/2009,0.67,36.8439,-121.7513,22.33,77.21,8.18,216.90,12.04,15.40,43.00,0.00,0.00,0.07,,,0.00,0.00,0.14,4.49,0.00,0.00,
APN,Upper Slough,10/5/2009,0.67,36.8471,-121.7545,19.60,35.00,8.46,160.20,11.94,4.50,9.90,0.00,0.01,1.04,,,0.00,0.00,0.04,1.26,0.02,0.00,
APS,Upper Slough,10/5/2009,0.66,36.8423,-121.7469,22.95,91.18,8.13,137.60,6.98,181.00,429.00,0.00,0.00,0.07,,,0.00,0.00,0.52,16.72,0.00,0.00,
BSE,Lower Slough,10/5/2009,0.62,36.8215,-121.7834,18.99,50.22,8.29,190.70,13.12,25.40,37.10,0.00,0.00,0.07,,,0.00,0.00,0.05,1.49,0.00,0.00,
BSW,Lower Slough,10/5/2009,0.61,36.8209,-121.7909,14.97,,7.46,137.10,13.80,36.80,7.00,0.00,0.03,2.07,,,0.00,0.02,0.04,1.32,0.04,0.00,
CC,Upper Slough,10/5/2009,0.58,36.8601,-121.7401,15.45,37.44,8.06,89.70,7.13,42.70,79.30,,0.09,6.43,0.27,19.36,0.00,,1.10,35.51,,0.00,
HLW,Upper Slough,10/5/2009,0.57,36.8565,-121.755,17.69,39.24,7.76,120.00,9.03,9.00,4.60,0.00,0.06,4.29,0.18,13.07,0.00,,0.07,2.26,,0.00,
KP,Upper Slough,10/5/2009,0.65,36.8398,-121.7437,17.44,32.30,8.17,110.60,8.72,10.00,7.50,0.00,0.04,2.50,,,0.00,0.03,0.05,1.45,0.06,0.00,
MCS,Lower Slough,10/5/2009,0.66,36.7963,-121.7832,18.12,36.95,8.62,135.00,10.22,12.00,8.40,0.00,0.09,6.43,0.16,11.29,0.00,,0.01,0.18,,0.01,
MDW,Tembladero Slough,10/5/2009,0.67,36.7719,-121.7897,18.19,12.59,8.40,214.50,18.76,18.60,5.40,0.00,0.04,2.79,11.01,786.07,0.00,,0.07,2.26,,0.00,
MLN,Lower Slough,10/5/2009,0.64,36.8,-121.7844,18.50,,7.76,125.00,11.67,21.50,3.40,0.00,0.12,8.57,8.38,598.79,0.00,,0.18,5.81,,0.00,
MLS,Lower Slough,10/5/2009,0.64,36.7997,-121.7847,17.39,32.78,7.65,102.40,8.06,7.60,5.30,100.00,0.62,44.29,3.75,267.93,0.00,,0.17,5.49,,0.01,
PRN,Tembladero Slough,10/5/2009,0.65,36.7908,-121.7904,16.90,15.24,7.68,99.80,8.82,30.20,2.00,0.00,0.40,28.26,10.97,783.79,0.00,,0.40,13.03,,0.01,
PRS,Tembladero Slough,10/5/2009,0.65,36.7904,-121.7907,16.69,25.37,7.64,93.10,7.76,17.60,2.40,0.00,0.09,6.43,11.30,807.00,0.00,,0.28,9.04,,0.00,
RBR,Reserve,10/5/2009,0.60,36.8199,-121.7371,16.31,33.60,8.08,107.20,8.57,10.10,8.60,0.00,0.04,2.61,,,0.00,0.03,0.04,1.32,0.07,0.00,
RSM,Reserve,10/5/2009,0.63,36.824,-121.74,17.80,34.12,8.44,150.90,11.69,1.40,1.40,0.00,0.01,0.71,,,0.00,0.01,0.03,1.11,0.02,0.00,
SKL,Lower Slough,10/5/2009,0.63,36.8106,-121.7864,15.98,36.61,7.66,112.90,8.93,3.70,3.90,0.00,0.02,1.43,,,0.00,0.05,0.03,1.03,0.07,0.00,
SP,Lower Slough,10/5/2009,0.60,36.8247,-121.7774,17.87,53.64,8.08,133.80,9.21,27.10,91.70,0.00,0.02,1.36,0.16,11.29,0.00,,0.01,0.18,,0.00,
SRB,Salinas River,10/5/2009,0.68,36.7321,-121.7807,17.32,6.46,8.38,191.40,17.67,25.20,50.60,0.00,0.07,5.00,20.81,"1,486.57",0.00,,0.01,0.18,,0.01,
TS,Tembladero Slough,10/5/2009,0.69,36.7651,-121.7596,17.89,1.83,8.11,99.60,9.35,66.60,2.60,0.00,0.46,32.86,52.90,"3,778.50",0.00,,0.65,20.99,,0.02,
TS2,Tembladero Slough,10/5/2009,0.67,36.772296,-121.787341,17.66,8.97,8.05,99.40,8.98,42.10,2.80,0.00,0.38,27.28,26.39,"1,885.21",0.00,,0.47,15.17,,0.01,
NERRNM,Reserve,10/6/2009,0.65,36.83465,-121.73843,17.90,33.60,8.30,117.20,9.10,,,,0.04,2.73,,,0.00,0.03,0.03,1.12,0.07,0.00,2.47
NERRVM,Lower Slough,10/6/2009,0.73,36.8112,-121.7792,15.90,33.00,7.80,97.00,7.90,9.00,,,0.04,2.76,,,0.00,0.02,0.04,1.13,0.06,0.00,2.44
NERRNM,Reserve,11/9/2009,0.40,36.83465,-121.73843,13.90,32.20,8.20,84.20,7.10,6.00,,,0.10,6.96,,,0.01,0.03,0.04,1.22,0.13,0.00,2.21
NERRVM,Lower Slough,11/9/2009,0.45,36.8112,-121.7792,13.30,32.90,8.00,83.10,7.00,3.00,,,0.03,2.14,,,0.00,0.07,0.04,1.24,0.10,0.00,0.72
APC,Upper Slough,11/10/2009,0.42,36.8439,-121.7513,12.57,40.48,8.00,126.30,10.43,15.20,24.20,0.00,0.00,0.32,,,0.00,0.00,0.34,11.08,0.00,0.00,1.24
APS,Upper Slough,11/10/2009,0.41,36.8423,-121.7469,12.85,32.33,8.43,146.57,12.66,34.50,23.64,0.00,0.01,0.56,,,0.00,0.00,0.20,6.62,0.01,0.00,
BSE,Lower Slough,11/10/2009,0.40,36.8215,-121.7834,14.06,34.59,7.96,53.70,4.47,98.50,2.00,1.00,0.01,0.56,,,0.00,0.03,0.04,1.44,0.04,0.00,13.64
BSW,Lower Slough,11/10/2009,0.40,36.8209,-121.7909,13.05,32.74,7.99,121.30,10.41,2.30,0.80,30.00,0.06,4.26,,,0.00,0.02,0.05,1.57,0.08,0.00,2.75
CC,Upper Slough,11/10/2009,0.37,36.8601,-121.7401,9.74,1.84,6.64,26.30,2.95,10.00,3.80,0.00,0.73,52.14,0.11,8.07,0.00,,0.51,16.59,,0.00,
HLE,Upper Slough,11/10/2009,0.36,36.8563,-121.7549,10.58,20.32,7.74,130.10,12.73,20.30,9.90,0.00,1.20,85.71,0.81,58.11,0.00,,0.01,0.18,,0.01,
HLW,Upper Slough,11/10/2009,0.36,36.8565,-121.755,12.88,31.94,7.85,101.40,8.78,-0.60,0.50,0.00,0.27,19.29,0.68,48.42,0.00,,0.05,1.57,,0.00,
JR,Lower Slough,11/10/2009,0.41,36.8171,-121.7871,13.24,32.61,7.76,92.80,7.94,0.80,0.20,2.00,0.09,6.14,,,0.00,0.04,0.04,1.14,0.12,0.00,0.83
KP,Upper Slough,11/10/2009,0.40,36.8398,-121.7437,14.24,32.79,7.93,107.30,8.98,3.30,0.50,0.00,0.05,3.91,,,0.00,0.03,0.04,1.35,0.08,0.00,1.61
MCS,Lower Slough,11/10/2009,0.46,36.7963,-121.7832,14.50,21.54,8.26,95.70,8.54,10.70,0.70,1.00,0.26,18.57,0.66,46.81,0.00,,0.45,14.55,,0.01,
MDW,Tembladero Slough,11/10/2009,0.48,36.7719,-121.7897,15.25,3.06,8.03,114.70,11.29,28.70,0.30,0.00,0.31,22.14,35.69,"2,549.40",0.00,,0.68,22.01,,0.01,
MLN,Lower Slough,11/10/2009,0.43,36.8,-121.7844,14.06,31.92,7.56,87.70,7.41,3.40,0.20,0.00,0.33,23.57,0.72,51.65,0.00,,0.08,2.73,,0.00,
MLS,Lower Slough,11/10/2009,0.43,36.7997,-121.7847,14.13,26.88,8.03,106.50,9.27,6.90,1.10,2.00,0.70,50.00,0.81,58.11,0.00,,0.31,10.12,,0.02,
PRN,Tembladero Slough,11/10/2009,0.44,36.7908,-121.7904,14.64,29.17,7.63,87.40,7.42,15.80,0.40,0.00,0.28,20.00,3.16,225.97,0.00,,0.14,4.52,,0.00,
PRS,Tembladero Slough,11/10/2009,0.45,36.7904,-121.7907,11.28,8.41,7.75,99.50,10.34,19.40,0.40,0.00,0.81,57.86,23.79,"1,699.60",0.00,,0.55,17.65,,0.01,
RBR,Reserve,11/10/2009,0.37,36.8199,-121.7371,13.56,32.80,7.83,97.70,8.30,4.10,0.80,1.00,0.05,3.32,,,0.00,0.04,0.04,1.35,0.08,0.00,1.66
RSM,Reserve,11/10/2009,0.39,36.824,-121.74,13.71,32.84,7.88,101.77,8.61,2.97,1.83,0.00,0.02,1.26,,,0.00,0.01,0.04,1.14,0.03,0.00,1.98
SP,Lower Slough,11/10/2009,0.38,36.8247,-121.7774,12.14,36.08,8.82,126.50,10.84,17.90,7.50,5.00,0.06,4.29,0.20,14.53,0.00,,0.02,0.54,,0.01,
SRB,Salinas River,11/10/2009,0.49,36.7321,-121.7807,14.69,5.22,8.39,120.90,11.88,7.90,13.30,0.00,0.09,6.43,11.21,800.57,0.00,,0.23,7.37,,0.01,
STB,Reserve,11/10/2009,0.35,36.8296,-121.734,10.12,17.12,7.94,52.40,5.29,31.80,4.90,20.00,0.03,2.20,,,0.00,0.03,0.02,0.57,0.07,0.00,45.50
TS,Tembladero Slough,11/10/2009,0.50,36.7651,-121.7596,13.70,1.47,8.29,139.20,14.31,32.30,0.70,0.00,0.13,9.29,47.97,"3,426.64",0.00,,0.49,15.79,,0.01,
TS2,Tembladero Slough,11/10/2009,0.46,36.772296,-121.787341,13.58,2.31,8.15,122.60,12.57,25.00,1.60,0.00,0.39,27.95,35.47,"2,533.26",0.00,,0.59,19.12,,0.01,
APS,Upper Slough,12/15/2009,0.61,36.8423,-121.7469,13.17,30.81,8.21,145.60,12.61,4.95,10.45,3.50,0.46,32.61,,,0.00,10.33,0.78,25.16,10.79,0.02,3.04
BSE,Lower Slough,12/15/2009,0.61,36.8215,-121.7834,11.50,8.00,8.46,127.50,13.22,325.00,21.20,0.00,0.06,4.40,,,0.00,0.14,0.04,1.20,0.20,0.00,3.73
BSW,Lower Slough,12/15/2009,0.61,36.8209,-121.7909,11.50,3.74,8.40,127.80,13.60,205.00,19.70,0.00,0.11,7.54,,,0.00,0.27,0.04,1.18,0.38,0.01,3.60
CC,Upper Slough,12/15/2009,0.60,36.8601,-121.7401,13.52,18.28,8.69,237.50,22.28,28.20,17.00,10.00,0.56,40.00,5.81,414.81,0.00,,0.03,0.97,,0.06,
HLE,Upper Slough,12/15/2009,0.58,36.8563,-121.7549,12.42,37.67,7.53,126.20,10.63,9.10,0.50,0.00,0.83,59.29,11.37,811.87,0.00,,0.08,2.58,,0.01,
HLW,Upper Slough,12/15/2009,0.59,36.8565,-121.755,12.68,36.95,7.66,101.00,8.51,3.80,0.50,0.00,0.49,35.10,0.00,0.29,0.00,,0.04,1.29,,0.01,
JR,Lower Slough,12/15/2009,0.63,36.8171,-121.7871,12.62,15.96,8.62,124.20,11.94,32.50,20.00,15.00,0.18,12.74,,,0.00,0.23,0.03,0.95,0.41,0.02,2.10
KP,Upper Slough,12/15/2009,0.60,36.8398,-121.7437,14.10,30.06,8.21,155.63,13.30,23.93,27.83,5.33,0.00,0.11,,,0.00,0.11,0.03,0.95,0.11,0.00,2.37
MCS,Lower Slough,12/15/2009,0.57,36.7963,-121.7832,11.65,30.71,7.91,94.90,8.49,3.20,1.90,0.00,0.08,5.71,0.07,4.84,0.00,,1.80,58.11,,0.00,
MDW,Tembladero Slough,12/15/2009,0.54,36.7719,-121.7897,11.83,24.96,7.72,101.03,9.16,10.70,5.23,3.33,0.05,3.57,5.51,393.83,0.00,,0.10,3.23,,0.00,
MLN,Lower Slough,12/15/2009,0.55,36.8,-121.7844,12.10,30.69,7.99,99.00,8.78,4.10,0.80,0.00,0.13,9.29,0.00,0.29,0.00,,1.40,45.20,,0.00,
MLS,Lower Slough,12/15/2009,0.64,36.7997,-121.7847,11.25,3.29,8.85,158.90,17.12,50.70,15.30,0.00,0.09,6.07,1.24,88.77,0.00,,0.06,1.94,,0.01,
NERRNM,Reserve,12/15/2009,0.58,36.83465,-121.73843,13.30,30.30,8.00,102.90,8.90,12.00,,,0.07,4.69,,,0.01,0.11,0.02,0.72,0.18,0.00,3.04
NERRVM,Lower Slough,12/15/2009,0.67,36.8112,-121.7792,12.30,31.20,8.10,101.10,8.90,5.00,,,0.04,2.93,,,0.00,0.15,0.03,0.93,0.19,0.00,2.23
PRS,Tembladero Slough,12/15/2009,0.55,36.7904,-121.7907,12.10,30.69,7.99,99.00,8.78,4.10,0.80,0.00,0.08,5.71,6.50,464.28,0.00,,0.24,7.70,,0.00,
RBR,Reserve,12/15/2009,0.58,36.8199,-121.7371,12.47,30.03,8.10,115.20,10.18,3.10,0.90,0.00,0.07,4.94,,,0.00,0.15,0.03,0.89,0.22,0.00,2.93
RSM,Reserve,12/15/2009,0.59,36.824,-121.74,14.24,26.05,8.30,162.50,14.19,46.00,4.70,0.00,0.03,2.09,,,0.00,0.04,0.02,0.79,0.07,0.00,5.81
SKL,Lower Slough,12/15/2009,0.64,36.8106,-121.7864,11.75,3.50,8.48,185.30,19.65,156.10,12.00,0.00,0.00,0.11,,,0.00,0.15,0.04,1.35,0.15,0.00,0.05
SP,Lower Slough,12/15/2009,0.60,36.8247,-121.7774,12.97,29.07,8.16,138.60,12.26,20.80,7.10,0.00,0.07,5.00,0.00,0.29,0.00,,0.01,0.18,,0.00,
STB,Reserve,12/15/2009,0.58,36.8296,-121.734,12.62,39.27,7.90,120.80,10.10,9.00,0.50,5.00,0.00,0.11,,,0.00,0.00,0.01,0.45,0.01,0.00,7.22
TS2,Tembladero Slough,12/15/2009,0.57,36.772296,-121.787341,11.65,30.71,7.91,94.90,8.49,3.20,1.90,0.00,0.23,16.43,11.26,804.61,0.00,,0.49,15.80,,0.00,
APC,Upper Slough,1/12/2010,0.57,36.8439,-121.7513,13.40,27.87,8.12,102.40,8.99,2.70,4.40,0.00,0.00,0.04,,,0.00,0.00,0.24,7.62,0.00,0.00,7.38
APN,Upper Slough,1/12/2010,0.58,36.8471,-121.7545,12.95,19.03,8.02,102.70,9.62,2.97,4.80,0.00,0.02,1.27,,,0.00,0.02,0.05,1.69,0.04,0.00,2.63
APS,Upper Slough,1/12/2010,0.56,36.8423,-121.7469,13.75,0.78,7.92,89.37,9.22,141.77,16.40,0.00,0.24,17.32,,,0.00,3.69,0.53,17.01,3.93,0.00,0.70
BSE,Lower Slough,1/12/2010,0.55,36.8215,-121.7834,13.19,30.06,7.81,94.30,8.21,4.85,4.35,10.00,0.06,4.16,,,0.00,0.13,0.04,1.36,0.19,0.00,2.04
BSW,Lower Slough,1/12/2010,0.55,36.8209,-121.7909,12.99,20.98,7.72,86.00,7.96,13.80,2.40,0.00,0.11,7.62,,,0.00,0.13,0.06,1.87,0.24,0.00,1.46
CC,Upper Slough,1/12/2010,0.52,36.8601,-121.7401,12.24,2.04,6.23,42.10,4.46,31.35,24.90,0.00,0.59,42.14,0.32,22.59,0.00,,0.21,6.78,,0.00,
HLE,Upper Slough,1/12/2010,0.51,36.8563,-121.7549,13.10,11.11,7.61,92.95,9.12,14.75,11.20,0.00,0.45,32.14,5.72,408.29,0.00,,0.08,2.58,,0.00,
HLW,Upper Slough,1/12/2010,0.52,36.8565,-121.755,13.16,30.69,7.72,95.90,8.32,4.10,2.05,0.00,0.11,7.86,0.00,0.29,0.00,,0.02,0.65,,0.00,
JR,Lower Slough,1/12/2010,0.56,36.8171,-121.7871,12.98,14.17,7.65,87.80,8.47,4.75,2.05,0.00,0.08,5.62,,,0.00,0.10,0.05,1.48,0.18,0.00,1.64
KP,Upper Slough,1/12/2010,0.56,36.8398,-121.7437,12.85,30.83,8.01,98.85,8.63,4.80,4.45,0.00,0.01,0.64,,,0.00,0.02,0.03,1.00,0.03,0.00,3.33
MCS,Lower Slough,1/12/2010,0.59,36.7963,-121.7832,13.44,19.35,8.52,113.25,10.48,11.75,40.65,0.00,0.13,9.29,0.00,0.29,0.00,,0.26,8.39,,0.01,
MDW,Tembladero Slough,1/12/2010,0.60,36.7719,-121.7897,12.53,2.54,8.84,109.05,11.44,44.55,48.65,0.00,0.09,6.43,0.81,58.10,0.00,,0.08,2.58,,0.01,
MLN,Lower Slough,1/12/2010,0.57,36.8,-121.7844,13.15,27.31,7.78,92.10,8.16,20.60,6.80,0.00,0.11,7.86,0.63,45.19,0.00,,0.04,1.29,,0.00,
MLS,Lower Slough,1/12/2010,0.57,36.7997,-121.7847,13.28,22.51,8.03,89.25,8.13,9.05,8.20,0.00,0.26,18.57,0.00,0.29,0.00,,0.17,5.49,,0.01,
NERRNM,Reserve,1/12/2010,0.54,36.83465,-121.73843,12.90,31.50,7.90,64.80,5.60,14.00,,,0.04,2.74,,,0.01,0.04,0.03,0.98,0.08,0.00,5.50
NERRVM,Lower Slough,1/12/2010,0.64,36.8112,-121.7792,12.82,31.97,8.20,87.50,7.58,6.10,,,0.03,2.10,,,0.01,0.05,0.03,0.94,0.08,0.00,1.88
PRN,Tembladero Slough,1/12/2010,0.58,36.7908,-121.7904,13.03,0.10,8.35,98.15,10.33,27.25,8.00,0.00,0.17,12.14,3.86,275.96,0.00,,0.15,4.84,,0.01,
PRS,Tembladero Slough,1/12/2010,0.59,36.7904,-121.7907,12.65,7.47,8.27,96.45,9.78,96.40,45.60,0.00,0.16,11.64,4.33,309.36,0.00,,0.14,4.53,,0.01,
RBR,Reserve,1/12/2010,0.52,36.8199,-121.7371,12.72,31.15,7.95,90.83,7.93,4.70,4.27,0.00,0.03,2.40,,,0.00,0.05,0.03,0.96,0.08,0.00,2.30
RSM,Reserve,1/12/2010,0.54,36.824,-121.74,12.75,30.83,7.81,97.00,8.48,3.80,0.30,0.00,0.01,0.74,,,0.00,0.02,0.05,1.63,0.03,0.00,4.42
SKL,Lower Slough,1/12/2010,0.56,36.8106,-121.7864,13.14,30.92,7.71,93.80,8.13,8.15,1.35,0.00,0.06,4.16,,,0.00,0.10,0.04,1.18,0.15,0.00,2.37
SP,Lower Slough,1/12/2010,0.54,36.8247,-121.7774,13.08,29.88,8.27,114.90,10.03,25.30,21.00,20.00,0.04,2.86,0.00,0.29,0.00,,0.01,0.18,,0.00,
SRB,Salinas River,1/12/2010,0.61,36.7321,-121.7807,13.18,0.86,8.83,171.05,17.86,7.25,116.30,0.00,0.17,12.14,3.95,282.41,0.00,,0.16,5.17,,0.02,
STB,Reserve,1/12/2010,0.51,36.8296,-121.734,13.86,31.57,7.91,37.65,3.20,10.00,15.35,0.00,0.10,7.48,,,0.00,0.05,0.05,1.47,0.16,0.00,3.75
TS,Tembladero Slough,1/12/2010,0.62,36.7651,-121.7596,12.84,0.61,8.07,88.15,9.29,266.60,16.05,0.00,0.21,15.00,14.73,"1,052.19",0.00,,0.23,7.43,,0.01,
TS2,Tembladero Slough,1/12/2010,0.60,36.772296,-121.787341,12.97,1.19,8.18,89.25,9.35,83.30,19.10,0.00,0.44,31.64,16.03,"1,144.66",0.00,,0.19,6.12,,0.02,
APN,Upper Slough,2/2/2010,0.62,36.8471,-121.7545,14.77,28.25,8.03,112.47,9.58,7.70,3.60,0.00,0.09,6.18,,,0.00,0.54,0.05,1.63,0.62,0.00,1.53
APS,Upper Slough,2/2/2010,0.60,36.8423,-121.7469,16.45,3.90,9.42,456.77,43.61,49.10,19.93,0.00,0.09,6.59,,,0.00,2.85,0.60,19.40,2.94,0.04,1.70
CAT,Freshwater Pond,2/2/2010,0.69,36.8207,-121.7318,16.01,2.60,7.04,120.40,11.70,1.40,42.13,0.00,0.10,7.37,,,0.00,48.13,0.01,0.30,48.23,0.00,5.85
CC,Upper Slough,2/2/2010,0.64,36.8601,-121.7401,13.02,1.94,7.34,130.67,13.59,14.80,33.50,0.00,1.60,114.29,0.36,25.82,0.00,,0.54,17.43,,0.01,
