ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
PRS,Tembladero Slough,12/17/1989,0.63,36.7904,-121.7907,11.00,10.00,7.80,,11.40,8.00,,,0.26,18.33,12.37,883.22,0.00,,0.29,9.49,,0.00,0.00
RBR,Reserve,12/17/1989,0.45,36.8199,-121.7371,11.00,21.20,7.88,,9.20,4.50,,,0.10,7.17,0.05,3.85,0.00,,0.07,2.20,,0.00,0.00
RNM,Reserve,12/17/1989,0.48,36.8364,-121.7323,11.00,21.20,7.34,,9.70,4.20,,,0.08,5.96,0.05,3.43,0.00,,0.04,1.38,,0.00,0.00
RSM,Reserve,12/17/1989,0.46,36.824,-121.74,10.00,22.00,7.10,,9.40,6.50,,,0.11,7.50,0.05,3.90,0.00,,0.04,1.15,,0.00,0.00
SKL,Lower Slough,12/17/1989,0.43,36.8106,-121.7864,13.50,22.20,7.50,,8.50,1.75,,,0.03,2.10,0.05,3.36,0.00,,0.07,2.28,,0.00,0.00
SP,Lower Slough,12/17/1989,0.57,36.8247,-121.7774,10.20,21.60,6.82,,12.00,7.00,,,0.03,1.96,0.01,1.00,0.00,,0.17,5.50,,0.00,0.00
SRB,Salinas River,12/17/1989,0.66,36.7321,-121.7807,10.00,3.00,8.16,,,19.00,,,0.04,2.63,4.06,289.92,0.00,,0.03,1.07,,0.00,0.00
SRL,Salinas River,12/17/1989,0.64,36.748,-121.7835,9.90,4.80,7.80,,12.10,12.00,,,0.03,2.38,3.39,241.83,0.00,,0.09,2.82,,0.00,0.00
BSE,Lower Slough,1/20/1990,0.62,36.8215,-121.7834,12.00,23.50,7.71,,5.30,9.50,,,0.07,5.13,0.02,1.56,0.00,,0.47,15.21,,0.00,0.00
BSW,Lower Slough,1/20/1990,0.61,36.8209,-121.7909,16.00,23.90,8.24,,12.80,3.50,,,0.16,11.48,0.14,9.87,0.00,,0.13,4.10,,0.01,0.00
